location,total_sqft,bath,price,bhk,encoded_loc
Electronic City,1350.0,2,56.0,3,77
CV Raman Nagar,1550.0,3,65.0,3,57
Others,1500.0,3,100.0,3,184
Nagavara,400.0,1,14.0,1,176
Electronic City,770.0,1,36.0,2,77
Hulimavu,1242.0,2,51.0,2,108
Thanisandra,2144.0,3,145.0,3,219
Vijayanagar,1704.0,3,110.0,3,231
Electronic City,1070.0,2,52.0,2,77
Others,1340.0,2,55.7,2,184
Electronic City,1025.0,2,46.0,2,77
KR Puram,1785.0,2,56.8,2,119
Marathahalli,1200.0,2,52.0,2,165
Kanakpura Road,2250.0,4,110.0,4,131
Pattandur Agrahara,1550.0,2,80.0,3,189
Marathahalli,1200.0,2,60.0,2,165
Yelahanka,1327.0,2,98.0,2,237
Kothanur,1186.0,2,58.0,2,150
Others,1783.0,3,115.0,3,184
HSR Layout,1400.0,3,56.0,3,92
Nagasandra,980.0,2,48.0,2,175
EPIP Zone,1285.0,2,82.0,2,76
Others,912.0,2,70.0,3,184
Whitefield,1225.0,2,47.6,2,235
Whitefield,1075.0,2,53.0,2,235
Kadugodi,1260.0,2,54.0,3,121
Yelahanka,1282.0,2,48.7,3,237
Kogilu,1909.0,3,88.0,3,146
Panathur,1359.0,2,87.0,2,187
Others,1207.0,2,43.5,2,184
Kammasandra,1595.0,3,65.0,3,129
Others,1798.0,3,89.0,3,184
Electronics City Phase 1,1475.0,3,78.29,3,79
Others,1580.0,3,100.0,3,184
Dasarahalli,1295.0,2,65.0,2,68
Magadi Road,3600.0,6,141.0,6,159
Electronic City,589.0,1,27.0,1,77
Others,1415.0,3,78.0,3,184
Sarjapur  Road,1787.0,3,98.29,3,204
Sarjapur  Road,1787.0,3,125.0,3,204
Koramangala,1475.0,2,90.0,3,148
Others,2000.0,4,75.5,4,184
Sarjapur  Road,984.0,2,44.28,2,204
Devanahalli,2390.0,2,74.82,3,69
7th Phase JP Nagar,1080.0,2,72.0,2,8
Others,1500.0,2,115.0,2,184
Hebbal,1900.0,3,119.0,3,95
Budigere,1153.0,2,56.4,2,56
Others,1148.0,2,60.0,2,184
Others,1110.0,2,55.0,2,184
Electronic City,1100.0,2,42.0,2,77
Others,1500.0,2,65.0,3,184
Others,1080.0,2,39.0,2,184
Vijayanagar,1933.0,3,129.0,3,231
Ramamurthy Nagar,3500.0,5,150.0,5,198
Others,1060.0,2,60.0,2,184
Others,1644.0,3,84.0,3,184
Others,1285.0,2,72.5,2,184
Electronic City,1200.0,3,90.0,3,77
Electronic City,910.0,2,40.0,2,77
Kothanur,1577.0,3,70.0,3,150
Others,4050.0,3,280.0,3,184
OMBR Layout,2420.0,3,185.0,3,181
Others,1060.0,2,55.0,2,184
7th Phase JP Nagar,1270.0,2,93.0,2,8
Others,1280.0,2,69.0,2,184
Horamavu Agara,1200.0,2,95.0,4,101
Sarjapur  Road,1025.0,2,36.0,2,204
Electronic City,1108.0,2,63.0,2,77
Others,3045.0,3,170.0,3,184
Vijayanagar,1500.0,3,75.5,3,231
Raja Rajeshwari Nagar,1295.0,2,43.9,2,194
Budigere,1162.0,2,59.9,2,56
Sarjapur  Road,1035.0,2,49.2,2,204
Attibele,1600.0,4,52.8,4,23
Others,1464.0,3,46.0,3,184
Hennur Road,1866.0,2,61.58,3,99
Others,700.0,1,26.0,2,184
Kalena Agrahara,1804.0,3,120.0,3,125
Sarjapur,913.0,2,32.0,2,203
Talaghattapura,1868.0,3,131.0,3,218
Kengeri Satellite Town,883.0,2,45.0,2,140
Kogilu,1664.0,2,73.95,3,146
Hegde Nagar,2026.0,3,132.0,3,97
Balagere,1210.0,2,80.9,2,29
Others,4111.0,4,250.0,4,184
Kadugodi,1762.0,3,91.45,3,121
Jigani,1252.0,3,55.0,3,117
Gollarapalya Hosahalli,861.0,2,34.5,2,84
7th Phase JP Nagar,1420.0,2,100.0,3,8
Electronics City Phase 1,1490.0,3,78.8,3,79
Bisuvanahalli,1075.0,2,46.0,3,50
Old Madras Road,1425.0,2,94.0,3,183
Kalena Agrahara,1200.0,2,40.0,2,125
Kaggadasapura,1280.0,2,56.0,3,122
Others,1084.0,2,50.0,2,184
Kanakpura Road,1017.0,2,51.25,2,131
Haralur Road,1027.0,2,44.0,2,93
Electronic City Phase II,1069.0,2,45.0,2,78
Hebbal,1349.0,2,98.2,2,95
9th Phase JP Nagar,1005.0,2,50.0,2,10
Jakkur,1417.0,2,75.0,2,114
TC Palaya,1475.0,3,98.0,3,217
Others,950.0,2,47.0,2,184
Others,2000.0,4,120.0,4,184
Sarjapur  Road,1863.0,3,104.0,4,204
Singasandra,1010.0,2,29.5,2,211
Kalena Agrahara,1425.0,2,70.0,3,125
Vijayanagar,1450.0,3,100.0,3,231
Kothanur,1847.0,3,105.0,3,150
AECS Layout,1100.0,2,45.0,2,11
Kanakpura Road,525.0,1,26.0,1,131
Mallasandra,1665.0,3,95.0,3,162
Begur,1664.0,4,65.0,4,42
JP Nagar,1850.0,3,150.0,3,113
Panathur,1438.0,2,100.0,2,187
Others,1560.0,3,115.0,3,184
Yelahanka,1350.0,2,55.55,2,237
Kanakpura Road,1550.0,3,67.0,3,131
Malleshpalya,1140.0,2,46.5,2,163
Others,850.0,2,27.0,2,184
Whitefield,1280.0,2,75.0,2,235
Munnekollal,1170.0,2,52.0,2,169
Others,1113.0,2,51.0,2,184
Hennur Road,1385.0,2,83.09,2,99
Electronic City,1128.0,2,65.0,2,77
Haralur Road,1464.0,3,56.0,3,93
Others,1200.0,2,55.0,2,184
Kaval Byrasandra,1200.0,2,52.0,2,137
Kaggalipura,1150.0,2,55.0,3,123
Others,1645.0,3,95.0,3,184
Sarjapur  Road,1000.0,2,67.0,2,204
Haralur Road,2650.0,4,198.0,4,93
6th Phase JP Nagar,1192.0,2,74.0,2,7
Whitefield,1173.0,2,58.0,2,235
Uttarahalli,1020.0,2,45.0,2,226
Somasundara Palya,1600.0,3,64.0,3,212
Others,1200.0,2,79.0,2,184
Others,1230.0,2,48.0,2,184
 Devarachikkanahalli,1250.0,2,40.0,2,0
Kalena Agrahara,1325.0,2,76.0,2,125
7th Phase JP Nagar,1850.0,3,150.0,3,8
Kanakpura Road,525.0,2,21.53,1,131
Basaveshwara Nagar,1200.0,2,65.0,2,40
Bommasandra,1260.0,3,49.36,3,52
Ardendale,1100.0,2,43.25,2,21
Harlur,1508.0,2,77.0,2,94
Others,1592.0,3,75.0,3,184
Akshaya Nagar,1388.0,2,57.0,2,13
Electronic City Phase II,630.0,1,28.35,1,78
Others,1762.0,3,125.0,3,184
Others,950.0,2,50.0,2,184
Magadi Road,1116.0,2,50.0,2,159
Narayanapura,1308.0,2,89.04,2,178
Others,1200.0,3,90.0,3,184
Bannerghatta Road,500.0,1,18.5,1,38
Hennur,1075.0,2,52.0,2,98
Bellandur,1205.0,2,66.0,2,44
5th Phase JP Nagar,1075.0,2,60.0,2,6
KR Puram,930.0,2,39.0,2,119
Balagere,1380.0,2,60.0,2,29
Kodigehaali,1166.0,2,55.0,2,143
Bannerghatta Road,1050.0,2,65.0,2,38
Begur Road,1200.0,2,46.8,2,43
Lakshminarayana Pura,1600.0,2,108.0,3,157
Billekahalli,1935.0,3,110.0,3,48
8th Phase JP Nagar,451.0,1,29.9,1,9
Electronic City,1800.0,3,95.0,3,77
Jalahalli,1400.0,3,77.0,3,115
Hegde Nagar,1801.0,3,115.0,3,97
Mahadevpura,1451.0,2,90.0,2,160
Anekal,1200.0,1,36.0,2,19
Begur Road,1160.0,2,44.0,2,43
Kanakpura Road,950.0,2,40.0,2,131
Others,1629.0,3,79.0,3,184
Vijayanagar,1826.0,3,121.0,3,231
7th Phase JP Nagar,1245.0,2,94.0,2,8
Raja Rajeshwari Nagar,1145.0,2,45.79,2,194
Sompura,825.0,2,33.0,2,213
Yeshwanthpur,1693.0,3,108.0,3,240
Electronics City Phase 1,1113.27,2,53.0,2,79
Others,1460.0,2,58.0,2,184
Doddathoguru,1050.0,2,32.0,2,73
Dodda Nekkundi,1260.0,2,55.0,2,70
Hosur Road,1656.0,2,120.0,2,107
Chandapura,1208.0,3,45.0,3,59
Whitefield,3252.0,4,230.0,4,235
Battarahalli,1200.0,2,65.0,2,41
7th Phase JP Nagar,1175.0,2,82.0,2,8
Others,1185.0,2,38.0,2,184
Kengeri,750.0,2,38.0,2,139
Kanakpura Road,1550.0,3,64.5,3,131
Others,1760.0,3,88.0,3,184
Billekahalli,1125.0,2,62.0,2,48
Anandapura,1000.0,2,55.0,2,17
Bommasandra Industrial Area,1090.0,2,31.48,2,53
TC Palaya,1200.0,2,60.0,2,217
Budigere,1991.0,4,103.0,3,56
Ambalipura,1105.0,2,75.0,2,14
Hoodi,985.0,2,67.0,2,100
Balagere,1590.0,3,79.0,3,29
CV Raman Nagar,1120.0,2,55.0,2,57
Others,1069.0,2,55.0,2,184
Marathahalli,1933.0,3,140.0,3,165
Hosur Road,1194.0,2,69.0,2,107
Brookefield,1150.0,2,69.0,2,55
Yelenahalli,1240.0,2,47.12,2,239
Raja Rajeshwari Nagar,1419.0,2,48.1,2,194
Others,1450.0,3,55.0,3,184
Others,1630.0,3,68.29,3,184
Dasanapura,708.0,1,40.0,2,67
Whitefield,11890.0,4,700.0,4,235
Bellandur,1250.0,2,76.0,2,44
7th Phase JP Nagar,1400.0,2,95.0,3,8
Sarjapur  Road,1670.0,2,57.0,3,204
Ardendale,1750.0,3,100.0,3,21
Vittasandra,1404.0,2,71.0,2,234
Hoodi,1715.0,2,95.0,3,100
Electronic City,630.0,1,34.65,1,77
Harlur,1752.12,3,135.0,3,94
Hulimavu,1650.0,3,78.0,3,108
Raja Rajeshwari Nagar,1295.0,2,55.47,2,194
Sarjapur  Road,1346.0,2,74.03,2,204
Hormavu,1150.0,2,55.0,2,103
AECS Layout,1620.0,3,98.0,3,11
Marathahalli,950.0,2,46.96,2,165
Harlur,2450.0,3,120.0,3,94
Electronic City Phase II,1220.0,2,35.23,3,78
Others,850.0,2,30.0,2,184
Padmanabhanagar,1020.0,2,63.0,2,185
Chikkalasandra,1100.0,2,50.0,2,63
Hebbal,1760.0,2,130.0,3,95
Ambalipura,1800.0,3,110.0,3,14
Akshaya Nagar,1070.0,2,54.0,2,13
Vidyaranyapura,1440.0,2,95.0,2,230
Amruthahalli,900.0,2,40.0,2,16
Whitefield,1130.0,2,42.16,2,235
Kodigehalli,1270.0,2,98.0,2,144
Others,1200.0,2,62.0,2,184
Others,4800.0,4,235.0,4,184
Others,1200.0,2,74.0,2,184
Subramanyapura,929.0,2,50.17,2,215
Others,1464.0,3,56.0,3,184
Others,2000.0,4,99.0,4,184
Chikkalasandra,1208.0,2,49.0,2,63
Hebbal Kempapura,1130.0,2,60.0,2,96
Others,1753.0,3,120.0,3,184
Hoodi,1196.0,2,94.42,2,100
5th Phase JP Nagar,1150.0,3,52.5,2,6
Electronic City,1128.0,2,63.0,2,77
Others,1000.0,2,53.0,2,184
Yelahanka,1035.0,2,45.0,2,237
Kereguddadahalli,950.0,2,32.0,2,141
Bisuvanahalli,1075.0,2,36.0,3,50
Whitefield,1040.0,2,48.5,2,235
Others,720.0,2,45.0,2,184
Lingadheeranahalli,1511.0,3,95.0,3,158
Others,1300.0,3,58.0,3,184
Hoodi,1545.0,3,68.75,3,100
Shampura,375.0,2,26.0,1,209
Vidyaranyapura,1062.0,2,38.0,2,230
Others,1115.0,2,40.0,2,184
JP Nagar,1000.0,2,35.0,2,113
Kambipura,883.0,2,45.0,2,127
Sarjapur  Road,1195.0,2,70.0,2,204
Others,700.0,1,41.0,1,184
Vittasandra,1246.0,2,67.0,2,234
Others,1600.0,4,80.0,4,184
Haralur Road,2805.0,5,154.0,4,93
Begur Road,1584.0,3,65.0,3,43
Hosur Road,1175.0,2,48.0,3,107
Others,1595.0,3,115.0,3,184
Others,1353.0,2,110.0,2,184
Electronic City,1599.0,3,125.0,3,77
Whitefield,1150.0,2,70.0,2,235
KR Puram,1155.0,2,42.74,2,119
Others,1200.0,2,85.0,1,184
Thanisandra,3000.0,4,120.0,4,219
Ramagondanahalli,1251.0,2,47.0,2,197
Others,1028.0,2,45.5,2,184
Arekere,1222.0,2,45.0,2,22
Bannerghatta Road,1170.0,2,66.0,3,38
Others,1385.0,2,48.48,3,184
HSR Layout,1372.0,2,68.0,2,92
Magadi Road,1282.0,2,49.0,3,159
Kanakpura Road,1135.0,2,39.73,2,131
Whitefield,1768.0,3,101.0,3,235
Others,1325.0,2,90.0,3,184
Electronic City,1599.0,3,99.0,3,77
Whitefield,1500.0,3,61.95,3,235
Uttarahalli,1286.0,2,63.0,2,226
Kammanahalli,2845.0,5,140.0,5,128
Others,1600.0,2,50.0,3,184
Hennur Road,1915.0,2,63.77,2,99
Munnekollal,1102.0,2,53.67,2,169
Yelahanka,1350.0,2,54.0,2,237
Banashankari,1200.0,2,42.0,3,30
Others,1800.0,1,80.0,2,184
Chikkabanavar,950.0,2,40.0,2,62
Kanakpura Road,525.0,1,27.25,1,131
Attibele,656.0,2,25.0,2,23
Others,1056.0,2,80.0,2,184
Bannerghatta Road,595.0,1,33.32,1,38
Others,1080.0,2,50.0,2,184
7th Phase JP Nagar,2225.0,3,160.0,3,8
Electronics City Phase 1,1490.0,3,84.0,3,79
Sarjapur  Road,1550.0,3,100.0,3,204
Sarjapur  Road,1600.0,3,86.0,3,204
Others,1160.0,2,55.0,2,184
Whitefield,4144.0,4,315.0,4,235
Sarjapur  Road,2100.0,3,125.0,3,204
Vittasandra,1404.0,2,69.3,2,234
Others,1544.0,3,120.0,3,184
Banashankari Stage III,1305.0,2,58.7,3,32
Marathahalli,1230.0,2,80.0,2,165
Others,1200.0,2,65.0,2,184
Harlur,1460.0,3,73.0,3,94
Gottigere,967.0,2,45.0,2,85
Others,540.0,1,36.0,1,184
Hormavu,715.0,1,46.0,1,103
Mysore Road,1020.0,2,48.95,2,171
Jigani,1020.0,2,40.0,2,117
Koramangala,1253.0,2,102.0,2,148
Others,1180.0,2,42.0,2,184
Nehru Nagar,961.0,2,38.0,2,180
Kanakapura,1419.0,3,75.0,3,130
Others,1600.0,2,115.0,2,184
Others,416.0,1,18.5,1,184
HSR Layout,1430.0,2,65.0,3,92
Others,1260.0,2,45.0,2,184
Others,1630.0,3,85.0,3,184
Sarjapur  Road,1249.0,3,44.71,3,204
Kalena Agrahara,1450.0,2,85.0,3,125
Konanakunte,2791.0,3,223.0,3,147
Others,834.0,1,60.0,1,184
Others,1125.0,4,70.0,3,184
Arekere,2060.0,3,140.0,3,22
Raja Rajeshwari Nagar,1133.0,2,49.07,2,194
Bisuvanahalli,1075.0,2,37.0,3,50
Vidyaranyapura,1200.0,2,55.0,2,230
Thanisandra,1075.0,2,45.8,2,219
Kaggadasapura,1140.0,2,40.0,2,122
Raja Rajeshwari Nagar,1090.0,2,42.0,2,194
R.T. Nagar,1500.0,4,70.0,4,192
Whitefield,1790.0,3,100.0,3,235
Hebbal,1920.0,3,134.0,3,95
HRBR Layout,1374.0,2,95.0,2,91
Bannerghatta Road,1445.0,3,95.0,3,38
Kanakapura,711.0,1,36.0,1,130
Tumkur Road,1500.0,3,95.0,3,224
Whitefield,1720.0,3,100.0,3,235
Vasanthapura,1400.0,3,60.0,3,229
Kundalahalli,1030.0,2,49.0,2,154
Mysore Road,1200.0,2,85.0,2,171
Others,1375.0,3,70.0,3,184
Hegde Nagar,1050.0,1,56.0,2,97
Jalahalli,2250.0,3,160.0,3,115
Bellandur,1000.0,2,50.0,2,44
Others,469.0,1,25.0,1,184
Marathahalli,3800.0,4,250.0,4,165
Kambipura,883.0,2,29.0,2,127
GM Palaya,1820.0,2,86.0,3,81
Singasandra,1440.0,2,65.0,3,211
Others,3600.0,4,160.0,6,184
Mahadevpura,1225.0,2,48.0,2,160
Chikkalasandra,875.0,2,52.8,2,63
Jalahalli East,750.0,1,40.0,1,116
6th Phase JP Nagar,1180.0,2,80.0,2,7
Haralur Road,1194.0,2,47.0,2,93
Hennur Road,1500.0,2,62.0,3,99
Others,1160.0,2,52.2,2,184
Sarjapur,1128.0,2,60.0,2,203
Others,1220.0,2,35.23,3,184
Sarjapur  Road,1210.0,2,58.0,2,204
Kanakpura Road,1100.0,2,58.0,3,131
Bommasandra,1200.0,3,46.0,3,52
Haralur Road,3385.0,5,260.0,4,93
Others,1641.0,3,66.0,3,184
Horamavu Agara,1200.0,2,45.0,2,101
Raja Rajeshwari Nagar,1260.0,2,67.39,2,194
Mahadevpura,1720.0,3,78.0,3,160
Yelahanka,1692.5,2,48.13,2,237
Yelahanka,1210.0,2,45.98,2,237
Bisuvanahalli,1075.0,2,45.0,3,50
Thanisandra,1702.0,3,130.0,3,219
Raja Rajeshwari Nagar,1141.0,2,38.55,2,194
Others,2072.0,3,108.0,3,184
JP Nagar,7720.0,2,375.0,5,113
Others,1200.0,2,70.0,3,184
Others,1350.0,3,77.0,3,184
Others,5591.0,4,445.0,4,184
Others,1180.0,2,78.34,3,184
Bannerghatta Road,1640.0,2,120.0,3,38
Kodichikkanahalli,1190.0,2,57.0,3,142
Marathahalli,1019.0,2,49.85,2,165
Akshaya Nagar,1250.0,3,40.0,3,13
Whitefield,1140.0,2,56.0,2,235
Lingadheeranahalli,1683.0,3,109.0,3,158
Kaggadasapura,1515.0,3,83.3,3,122
Hoodi,2118.0,4,111.0,4,100
Bannerghatta Road,1380.0,3,58.0,4,38
Varthur Road,1083.0,2,61.75,2,228
Others,2300.0,3,120.0,3,184
Others,1240.0,2,60.0,2,184
Others,1750.0,3,120.0,3,184
Others,1230.0,2,43.48,2,184
Abbigere,985.0,2,40.39,2,12
Tindlu,1500.0,2,87.0,3,223
Electronic City,1125.0,2,32.49,2,77
Others,950.0,2,44.0,2,184
JP Nagar,7800.0,2,548.5,5,113
Kothanur,1580.0,3,76.0,3,150
Hennur Road,2264.0,3,159.0,3,99
Kammasandra,810.0,2,24.5,2,129
Others,1045.0,2,45.0,2,184
Hebbal,1337.0,2,82.0,2,95
Begur Road,1500.0,2,54.0,3,43
Whitefield,1640.0,4,91.0,3,235
Others,1570.0,3,62.0,3,184
Gubbalala,1470.0,2,82.0,3,87
Kengeri,1160.0,2,40.61,2,139
7th Phase JP Nagar,1050.0,2,71.0,2,8
Bannerghatta Road,1460.0,2,90.0,3,38
Hulimavu,1823.0,3,100.0,3,108
Electronic City,1094.0,2,42.0,2,77
Budigere,1153.0,2,57.0,2,56
Others,1325.0,3,57.0,3,184
Parappana Agrahara,1200.0,3,85.0,4,188
Jakkur,1590.0,2,125.0,3,114
Others,1202.0,2,48.0,2,184
Haralur Road,1202.0,2,53.0,2,93
Others,1200.0,2,62.5,2,184
Panathur,1688.0,3,118.0,3,187
Kaval Byrasandra,1020.0,2,52.0,2,137
Sarjapur,1185.0,2,47.0,2,203
Ramagondanahalli,1235.0,2,52.04,2,197
Banashankari,1077.0,2,37.64,2,30
Kengeri Satellite Town,1415.0,2,66.0,3,140
EPIP Zone,2330.0,3,162.0,3,76
Whitefield,805.0,2,35.0,2,235
Others,425.0,1,20.03,1,184
Whitefield,1155.0,2,59.95,2,235
Anekal,656.0,2,22.0,2,19
Mahadevpura,1150.0,2,52.0,2,160
Whitefield,2280.0,4,126.0,3,235
Hegde Nagar,1341.0,2,97.0,2,97
Jakkur,1279.0,2,77.0,2,114
Electronic City Phase II,2225.0,4,98.88,4,78
Thanisandra,1185.0,2,43.51,2,219
Others,1750.0,3,85.0,3,184
Kudlu,1152.0,2,53.5,2,151
Varthur Road,2760.0,4,155.0,4,228
5th Phase JP Nagar,1070.0,2,39.0,2,6
Uttarahalli,1101.0,2,45.0,2,226
Others,775.0,2,55.0,2,184
Yeshwanthpur,667.0,1,36.85,1,240
Electronic City,1070.0,2,55.0,2,77
Old Airport Road,1875.0,2,110.0,3,182
Kundalahalli,735.0,2,57.99,2,154
Koramangala,1750.0,3,130.0,3,148
Marathahalli,1215.0,2,67.0,2,165
Vishwapriya Layout,820.0,2,30.0,2,233
Banashankari Stage VI,1757.5,2,59.935,2,34
Battarahalli,1779.0,3,89.61,3,41
Others,1105.0,2,58.0,2,184
Others,1572.0,2,93.0,1,184
Whitefield,1650.0,3,60.0,3,235
Cox Town,1975.0,3,150.0,3,66
Kammasandra,674.0,2,33.0,2,129
Kaggadasapura,1185.0,2,41.0,2,122
Others,445.0,1,28.0,1,184
HSR Layout,1475.0,3,75.0,3,92
Gottigere,1618.0,3,82.5,3,85
Koramangala,1120.0,2,65.0,2,148
Marathahalli,2181.0,3,152.0,4,165
Vidyaranyapura,1200.0,4,90.0,4,230
Bannerghatta Road,1556.0,2,59.13,3,38
Bannerghatta Road,1179.0,2,66.02,2,38
Thanisandra,1296.0,2,83.0,2,219
Kaggadasapura,1275.0,2,52.0,2,122
Kathriguppe,1400.0,2,77.0,3,136
Gottigere,1222.0,2,63.0,2,85
Electronic City,940.0,2,41.0,2,77
Thanisandra,1185.0,2,42.6,2,219
Tumkur Road,1779.0,3,112.0,3,224
Begur Road,1615.0,3,59.76,3,43
JP Nagar,6624.5,2,453.0,4,113
Haralur Road,1056.0,2,61.0,2,93
7th Phase JP Nagar,1100.0,2,46.0,2,8
Arekere,920.0,2,40.0,2,22
Others,1602.0,2,75.0,3,184
Padmanabhanagar,1176.0,2,62.0,2,185
Kasavanhalli,1717.0,3,99.0,3,134
Bhoganhalli,2119.0,4,111.0,4,47
Vittasandra,1246.0,2,67.3,2,234
Anandapura,1141.0,2,42.79,2,17
Hennur Road,1157.0,2,84.0,2,99
Yelahanka New Town,650.0,1,33.0,1,238
Hebbal,1349.0,2,98.0,2,95
Narayanapura,1566.0,3,83.3,3,178
Sahakara Nagar,2830.0,3,195.0,4,200
Electronic City,1320.0,2,38.13,3,77
Others,1780.0,3,84.83,3,184
Varthur,1091.0,2,34.9,2,227
